SKU,Status,Title,Price,Weight,Company,Style Code,Features,Retail Price,Size,Hex Color,Color,Mill Name,Dimensions,Imprint Area,Item Number,Image,Category
B032CN517,TRUE,Men's 4.2 oz. Long-Sleeve Henley - BLACK - 2XL,1151|0|5;994|6|47;964|48|-1;,0.47,Broder,3150,,22.60,2XL,0,BLACK,Canvas,,,B032CN517,http://www.broderbros.com/images/bro/prodDetail/3150_51_p.jpg,Apparel|Activewear|Henleys & Jerseys
B032CN515,TRUE,Men's 4.2 oz. Long-Sleeve Henley - BLACK - L,1151|0|5;994|6|47;964|48|-1;,0.47,Broder,3150,,19.28,L,0,BLACK,Canvas,,,B032CN515,http://www.broderbros.com/images/bro/prodDetail/3150_51_p.jpg,Apparel|Activewear|Henleys & Jerseys
B032CN514,TRUE,Men's 4.2 oz. Long-Sleeve Henley - BLACK - M,1151|0|5;994|6|47;964|48|-1;,0.47,Broder,3150,,19.28,M,0,BLACK,Canvas,,,B032CN514,http://www.broderbros.com/images/bro/prodDetail/3150_51_p.jpg,Apparel|Activewear|Henleys & Jerseys
B032CN513,TRUE,Men's 4.2 oz. Long-Sleeve Henley - BLACK - S,1151|0|5;994|6|47;964|48|-1;,0.47,Broder,3150,,19.28,S,0,BLACK,Canvas,,,B032CN513,http://www.broderbros.com/images/bro/prodDetail/3150_51_p.jpg,Apparel|Activewear|Henleys & Jerseys
B032CN516,TRUE,Men's 4.2 oz. Long-Sleeve Henley - BLACK - XL,1271|0|5;1099|6|47;113|48|-1;,0.47,Broder,3150,,19.28,XL,0,BLACK,Canvas,,,B032CN516,http://www.broderbros.com/images/bro/prodDetail/3150_51_p.jpg,Apparel|Activewear|Henleys & Jerseys
B032CN827,TRUE,Men's 4.2 oz. Long-Sleeve Henley - DARK GREY HEATHER - 2XL,1151|0|5;994|6|47;964|48|-1;,0.47,Broder,3150,,22.60,2XL,6C6F70,DARK GREY HEATHER,Canvas,,,B032CN827,http://www.broderbros.com/images/bro/prodDetail/3150_p.jpg,Apparel|Activewear|Henleys & Jerseys
B032CN825,TRUE,Men's 4.2 oz. Long-Sleeve Henley - DARK GREY HEATHER - L,1151|0|5;994|6|47;964|48|-1;,0.47,Broder,3150,,19.28,L,6C6F70,DARK GREY HEATHER,Canvas,,,B032CN825,http://www.broderbros.com/images/bro/prodDetail/3150_p.jpg,Apparel|Activewear|Henleys & Jerseys
B032CN824,TRUE,Men's 4.2 oz. Long-Sleeve Henley - DARK GREY HEATHER - M,1151|0|5;994|6|47;964|48|-1;,0.47,Broder,3150,,19.28,M,6C6F70,DARK GREY HEATHER,Canvas,,,B032CN824,http://www.broderbros.com/images/bro/prodDetail/3150_p.jpg,Apparel|Activewear|Henleys & Jerseys
B032CN823,TRUE,Men's 4.2 oz. Long-Sleeve Henley - DARK GREY HEATHER - S,1151|0|5;994|6|47;964|48|-1;,0.47,Broder,3150,,19.28,S,6C6F70,DARK GREY HEATHER,Canvas,,,B032CN823,http://www.broderbros.com/images/bro/prodDetail/3150_p.jpg,Apparel|Activewear|Henleys & Jerseys
B032CN826,TRUE,Men's 4.2 oz. Long-Sleeve Henley - DARK GREY HEATHER - XL,1271|0|5;1099|6|47;113|48|-1;,0.47,Broder,3150,,19.28,XL,6C6F70,DARK GREY HEATHER,Canvas,,,B032CN826,http://www.broderbros.com/images/bro/prodDetail/3150_p.jpg,Apparel|Activewear|Henleys & Jerseys
