SKU,Status,Title,Price,Weight,Company,Style Code,Features,Retail Price,Size,Hex Color,Color,Mill Name,Dimensions,Imprint Area,Item Number,Image,Category
WD00675A0|WD00675A7|WD00675A6|WD00675A5|WD00675A4|WD00675A9|WD00675A8,TRUE,10 oz. Duck Blanket Lined Jacket ,71.99|0|1;59.99|2|12;47.99|13|-1;,1.5,Broder,6,"100% cotton shell, 65% acrylic, 35% polyester body lining; 100% nylon quilted sleeve lining, 100% polyester fill; Heavyweight jacket with full heavy-duty brass zipper; Corduroy collar & triple-needle felled seam construction; Zip left-chest pocket, 2 hand-warmer pockets & inside pocket; Water-repellent finish, re-treat after washing; Fabric construction up to 20% stronger than the competition; ",143.98,XL,543A2C,BROWN DUCK,Dickies,,,WD00675A6,http://www.broderbros.com/images/bro/prodDetail/758_24_p.jpg,NEW
B30668107|B30668106|B30668105|B30668104|B30668103|B00168686|B00168093|B00168095|B00168094|B00168097|B00168096|B30568453|B30568454|B30568455|B30568456|B30568457|B30568613|B00168683|B30568616|B30568617|B30568614|B30568615|B30668113|B30668114|B30668115|B30668116|B30668117|B00168643|B30568094|B30568095|B00168646|B30568097|B30568116|B30568113|B30568555|B30568554|B30668617|B30668616|B30668615|B30668614|B30668613|B30568557|B30568556|B00168644|B30668644|B30668645|B30668646|B30668647|B00168103|B30668643|B00168107|B00168106|B00168105|B00168104|B30568645|B30568644|B30568647|B30568646|B30568643|B00168114|B00168115|B00168116|B00168117|B30568553|B00168113|B30668204|B30668205|B30668206|B30668207|B30668203|B00168553|B00168684|B00168685|B30668703|B00168687|B30668705|B30668704|B30668707|B30668706|B30568115|B30568114|B30568117|B00168203|B00168204|B00168205|B00168206|B00168207|B30568703|B30568704|B30568705|B30568706|B30568707|B30668553|B30668554|B30668555|B30668556|B30668557|B30568106|B30568107|B30568104|B30568105|B30568103|B30668095|B30668094|B30668097|B30668096|B30668093|B30568093|B00168554|B00168555|B00168556|B00168557|B00168645|B30568096|B00168647,TRUE,10 oz. Garment - Dyed Pullover Hood ,25.65|0|1;21.66|2|12;17.49|13|-1;,1.83,Broder,C1562,"100% combed ringspun cotton; Preshrunk, soft-washed, garment-dyed fabric; Double-needle stitched; Pouch pockets; Jersey-lined hood with matching drawcord; 2x1 rib on cuffs and relaxed waistband; Antique brass zipper; ",51.3,XL,BC4F07,YAM,Comfort Colors,,,B30568706,http://www.broderbros.com/images/bro/prodDetail/c1562_70_p.jpg,"NEW,Apparel|Sweatshirts & Sweatpants|Crewneck Sweatshirts,Apparel|Sweatshirts & Sweatpants|Hooded Sweatshirts"
0714906A8|0714906A5|0714906A4|0714906A7|0714906A6|0714906A3|B33130427|0714902A8|B33130425|B33130424|B33130423|0714902A3|0714902A5|0714902A4|0714902A7|0714902A6|0714986A5|0714986A4|0714986A7|0714986A6|0714986A3|0714986A8|0714908A8|0714908A7|0714908A6|0714908A5|0714908A4|0714908A3|0714982A3|0714982A5|0714982A4|0714982A7|0714944A8|0714944A7|0714944A6|0714944A5|0714944A4|0714944A3|0714979A3|0714979A7|0714979A6|0714979A5|0714979A4|0714979A8|0714900A7|0714900A6|0714900A5|0714900A4|0714900A3|B33130088|B33130426|B33130085|B33130084|B33130087|B33130086|B33130083|0714900A8|0714904A8|0714904A3|B33130428|0714904A7|0714904A6|0714904A5|0714904A4|0714999A5|0714999A4|0714999A7|0714999A6|0714999A3|0714999A8|0714915A3|0714915A5|0714915A4|0714915A7|0714915A6|0714915A8|0714919A8|0714919A5|0714919A4|0714919A7|0714919A6|0714919A3|0714982A6|0714982A8|0714959A8|0714959A3|0714959A5|0714959A4|0714959A7|0714959A6,TRUE,10 oz. Ultimate Cottonﾮ 90/10 Fleece Crew ,11.78|0|1;9.81|2|12;7.85|13|-1;,1.5,Broder,6,"90% cotton, 10% polyester; Low-pill, high-stitch density fleece with 100% cotton face; Coverseamed neck, armholes and waistband; Spandex-reinforced neck, cuffs and waistband; Coverstitching throughout; Light Steel is 85% cotton, 15% polyester; Charcoal Heather is 65% cotton, 35% polyester; ",23.56,XL,FFFFFF,WHITE,Hanes,,,0714999A6,http://www.broderbros.com/images/bro/prodDetail/f260_00_p.jpg,NEW
B15730106|B15730107|B15730104|B15730105|B15730103|B15730008|B15730007|B15730553|B15730005|B15730004|B15730003|B15730108|0715502A6|0715502A7|0715502A4|0715502A5|0715502A3|B15730388|B15730387|0715504A4|0715504A5|0715504A6|0715504A7|0715515A8|0715504A3|0715515A6|B15730605|0715515A4|0715515A5|0715504A8|0715515A3|B15730384|0715502A8|B15730006|0715579A8|B15730087|0715508A3|0715508A4|0715508A5|0715508A6|0715508A7|0715508A8|B15730385|B15730386|0715579A3|0715579A4|0715579A5|0715579A6|0715579A7|B15730608|B15730603|B15730383|B15730088|B15730604|B15730607|B15730606|B15730556|0715500A8|B15730086|B15730085|B15730084|B15730083|B15730558|0715515A7|B15730555|B15730554|B15730557|0715500A3|0715500A4|0715500A5|0715500A6|0715500A7,TRUE,10 oz. Ultimate Cottonﾮ 90/10 Full - Zip Hood ,28.29|0|1;23.58|2|12;18.86|13|-1;,1.88,Broder,6,"90% cotton, 10% polyester; Low-pill, high-stitch density fleece with 100% cotton face; Drawstring hood and pouch pocket; Double-needle stitching on armholes and waistband; Cotton/spandex cuffs; Light Steel is 85% cotton, 15% polyester; Charcoal Heather is 65% cotton, 35% polyester; ",56.58,XL,FFFFFF,WHITE,Hanes,,,B15730006,http://www.broderbros.com/images/bro/prodDetail/f280_00_p.jpg,NEW
0715700A6|0715700A7|0715700A4|0715700A5|0715700A3|B33630085|B33630606|0715715A3|B33630088|B33630086|0715700A8|B33630607|0715706A4|0715706A5|0715706A6|0715706A7|B33630087|0715706A3|0715799A3|B33630605|0715706A8|B33630603|0715715A7|0715704A3|0715779A8|0715704A6|0715704A7|0715704A4|0715704A5|0715779A3|0715704A8|B33630083|0715779A6|0715779A7|0715779A4|0715779A5|0715715A6|0715744A6|B33630604|B33630084|0715744A7|0715719A4|0715715A8|0715744A4|0715799A8|0715744A5|0715708A8|0715708A6|0715708A7|0715708A4|0715708A5|0715799A4|0715708A3|0715799A6|0715744A3|0715759A4|0715759A5|0715759A6|0715759A7|0715799A5|0715759A3|0715799A7|0715759A8|0715702A8|0715715A4|B33630608|0715715A5|0715702A3|0715702A4|0715702A5|0715702A6|0715702A7|0715719A3|0715744A8|0715719A5|0715719A6|0715719A7|0715719A8,TRUE,10 oz. Ultimate Cottonﾮ 90/10 Pullover Hood ,20.72|0|1;17.26|2|12;13.81|13|-1;,1.88,Broder,6,"90% cotton, 10% polyester; Low-pill, high-stitch density fleece with 100% cotton face; Drawstring hood and pouch pocket; Double-needle stitching on armholes and waistband; Cotton/spandex cuffs; Light Steel is 85% cotton, 15% polyester; Charcoal Heather is 65% cotton, 35% polyester; ",41.44,XL,FFFFFF,WHITE,Hanes,,,0715799A6,http://www.broderbros.com/images/bro/prodDetail/f170_00_p.jpg,NEW
B019WD510|B019WD485|B019WD514|B019WD515|B019WD516|B019WD517|B019WD518|B019WD519|B019WD345|B019WD344|B019WD347|B019WD346|B019WD340|B019WD349|B019WD348|B019WD900|B019WD907|B019WD906|B019WD905|B019WD489|B019WD486|B019WD487|B019WD909|B019WD908|B019WD480|B019WD488|B019WD904|B019WD484,TRUE,10.75 oz. Bonded Waffle - Knit Hooded Jacket ,59.99|0|1;49.99|2|12;39.99|13|-1;,2.48,Broder,6,"60% cotton, 40% polyester shell; Unique thermal-lined knit bonded to 100% poly Sherpa lining; Three-piece drawstring hood; Durable metal center front-zipper; Pouch pockets; Rib knit cuffs and banded bottom; Extended sizes available by special order; ",119.98,XL,B4C68C,LEAF GREEN,Dickies,,,B019WD346,http://www.broderbros.com/images/bro/prodDetail/tw385_34_p.jpg,NEW
2100242A7|2100242A6|2100242A5|2100242A4|2100242A3|2100299A5|2100259A8|2100259A7|2100259A6|2100259A5|2100259A4|2100259A3|2100242A8|2100297A8|B00150598|2100235A8|2100235A5|2100215A8|2100215A7|2100215A6|2100297A3|2100215A4|2100297A5|2100297A4|2100297A7|2100297A6|2100200A5|2100200A4|2100200A7|2100200A6|2100298A6|2100200A3|2100215A3|2100200A8|2100215A5|B00150596|2100235A4|B00150595|B00150164|2100299A8|B00150594|B00150168|2100245A8|B00150166|2100298A7|2100235A3|2100245A3|2100245A4|2100245A5|2100245A6|2100245A7|2100299A3|2100235A7|B00150165|B00150588|2100299A6|2100298A8|2100299A4|B00150584|B00150585|B00150586|B00150587|2100298A3|B00150583|2100298A4|B00150167|B00150597|2100220A8|B00150163|2100220A3|B00150593|2100220A7|2100220A6|2100220A5|2100220A4|2100235A6|2100299A7|2100298A5,TRUE,100% Polyester Moisture Wicking Long - Sleeve T - Shirt ,12.74|0|1;10.61|2|12;8.49|13|-1;,0.44,Broder,6,"3.7 oz., 100% polyester; Wicks moisture away from the body; Self-fabric collar and cuffs; Heat-sealed label; Set-in sleeves; Double-needle coverstitched collar; Double-needle hemmed bottom; ",25.48,XL,FFFFFF,WHITE,Augusta Sportswear,,,2100299A6,http://www.broderbros.com/images/bro/prodDetail/788_00_p.jpg,NEW
2100199A8|2100199A3|2100199A4|2100199A5|2100199A6|2100199A7|2100159A4|2100159A5|2100159A6|2100159A7|2100159A3|2100159A8|2100100A8|B61350009|B61350168|B61350167|B61350166|B61350165|B61350164|B61350163|B61350549|B61350585|B61350584|B61350587|B61350586|B61350588|2100197A8|2100197A3|B61350583|2100197A6|2100197A7|2100197A4|2100197A5|2100115A4|2100115A5|2100115A6|2100115A7|2100142A8|2100115A3|2100142A4|2100142A5|2100142A6|2100142A7|2100115A8|2100142A3|2100120A8|2100120A4|2100120A5|2100120A6|2100120A7|2100120A3|B61350286|B61350287|B61350284|B61350285|B61350283|B61350519|B61350288|2100100A6|2100100A7|2100100A4|2100100A5|2100100A3|B61350593|B61350596|B61350597|B61350594|B61350595|2100198A8|2100135A8|2100135A3|2100135A6|2100135A7|2100135A4|2100135A5|2100145A3|2100145A7|2100145A6|2100145A5|2100145A4|2100198A5|2100198A4|2100198A7|2100198A6|2100198A3|2100145A8|B61350439|B61350598|B61350138|B61350134|B61350135|B61350136|B61350137|B61350133,TRUE,100% Polyester Moisture Wicking Short - Sleeve T - Shirt ,8.85|0|1;7.38|2|12;5.90|13|-1;,0.39,Broder,6,"3.7 oz., 100% polyester; Wicks moisture away from the body; Self-fabric collar; Heat-sealed label; Set-in sleeves; Double-needle hemmed bottom and sleeves; Double-needle coverstitched collar and armholes; ",17.7,XL,FFFFFF,WHITE,Augusta Sportswear,,,2100199A6,http://www.broderbros.com/images/bro/prodDetail/790_00_p.jpg,NEW
B03950439|B03950438|B03950433|B03950430|B03950437|B03950436|B03950435|B03950434|B03950538|B03950108|B03950533|B03950530|B03950536|B03950537|B03950534|B03950535|B03950103|B03950587|B03950586|B03950585|B03950584|B03950583|B03950580|B03950589|B03950588|B03950598|B03950599|B03950590|B03950593|B03950594|B03950595|B03950596|B03950597|B03950628|B03950629|B03950626|B03950627|B03950624|B03950625|B03950623|B03950620|B03950510|B03950109|B03950513|B03950514|B03950515|B03950516|B03950517|B03950518|B03950519|B03950100|B03950107|B03950106|B03950105|B03950104|B03950565|B03950564|B03950448|B03950566|B03950560|B03950563|B03950443|B03950440|B03950446|B03950447|B03950444|B03950445|B03950539|B03950549|B03950548|B03950543|B03950540|B03950547|B03950546|B03950545|B03950544|B03950567|B03950663|B03950660|B03950449|B03950666|B03950667|B03950664|B03950665|B03950668|B03950669|B03950569|B03950568,TRUE,100% Polyester Tricot Mesh Shorts ,9.83|0|1;8.19|2|12;6.55|13|-1;,0.56,Broder,6,"Outer layer of 3.35 oz., 100% polyester tricot mesh; 100% polyester tricot lining; Full cut; Elastic waistband with inside drawcord; 9"" inseam; Double-needle hemmed bottom; ",19.66,XL,D9D9D9,SILVER GREY,Augusta Sportswear,,,B03950436,http://www.broderbros.com/images/bro/prodDetail/848_43_p.jpg,NEW
B12318037|B12318036|B12318035|B12318034|B12318033|B13118567|B13118564|B13118565|B12718656|B13118485|B13118484|B13118487|B13118486|B13318403|B13118483|B13118566|B12918483|B12918484|B12918485|B12918486|B12918487|B12718437|B12718756|B12718435|B12718434|B12718433|B12718757|B12518426|B12518427|B12518424|B12518425|B12518423|B12718553|B12318433|B12518653|B12318437|B12318436|B12318435|B12318434|B13118557|B13118556|B13118555|B13118554|B13118553|B12318345|B12318344|B12318347|B12318346|B13318555|B13318554|B12318343|B13318556|B12318223|B12318226|B12318227|B12318224|B12318225|B13318407|B12918523|B13318406|B13318653|B13318656|B13318405|B13318654|B13318655|B12518553|B13318404|B13318553|B12518557|B12518554|B12518555|B13118405|B13118404|B13118407|B13118406|B13118403|B13118653|B12318565|B12318564|B12318567|B12318566|B12318756|B12318757|B12318563|B12318755|B13318657|B12318356|B12318357|B12318354|B12318355|B12318353|B12518404|B12518405|B12518406|B12518407|B12518403|B12518327|B12518567|B12518566|B12518565|B12518564|B12518563|B12718753|B12518484|B12518556|B12518486|B12518487|B12518483|B12718436|B12518347|B12518346|B12518345|B12518344|B12518343|B13118654|B13118033|B13118034|B13118035|B13118036|B13118037|B12718483|B13118656|B13118657|B12918435|B13318557|B12918434|B12518663|B12518664|B12518665|B12518666|B12518667|B12918436|B12918437|B12518323|B12318753|B13318563|B13318564|B13318565|B13318566|B13318567|B13318317|B13318316|B13318315|B13318314|B13318313|B12318754|B12918527|B12918526|B12918525|B12318283|B12318284|B12318285|B12318286|B12318287|B13118665|B12318663|B13118667|B13118666|B12318666|B12318667|B12318664|B12318665|B12518035|B12518437|B12518033|B12518034|B12518037|B12718406|B12518036|B12918524|B13118655|B12518655|B12718754|B12518654|B12518435|B12518657|B12518434|B12318543|B12918433|B12518656|B12318547|B12318546|B12318545|B12318544|B12318406|B12318407|B12318404|B12318405|B12318403|B13118664|B12318523|B12318525|B12318524|B12318527|B12318526|B13318423|B12518326|B13318425|B13318424|B13318427|B13318426|B12318313|B12318316|B12318317|B12318314|B12318315|B12518325|B12718525|B13118663|B12718524|B12718653|B12718657|B12718527|B12718655|B12718654|B12718526|B12718554|B12718555|B12718556|B12718557|B12318554|B12318555|B12318556|B12318557|B12518324|B12318553|B12518485|B12718755|B13318433|B13318436|B13318437|B13318434|B13318435|B12318327|B12318326|B12318325|B12318324|B12318323|B12718403|B12518436|B13118563|B12718407|B12718404|B12718405|B12318486|B12318487|B12318484|B12318485|B12318483|B12518433|B12718487|B12918556|B12918557|B12918554|B12918555|B12918553|B12718523|B13118346|B13118347|B13118344|B13118345|B12718486|B13118343|B12718484|B12718485,TRUE,11 oz. Pigment - Dyed Ringspun Cotton Hood ,26.08|0|1;21.62|2|12;17.16|13|-1;,1.75,Broder,11562,"80% cotton, 20% polyester; Generously cut; Double-needle stitching throughout; 1x1 rib knit trim on neck and cuffs; Forward rolled shoulders; Locker patch; ",52.16,XL,BC4F07,YAM,Authentic Pigment,,,B12718656,http://www.broderbros.com/images/bro/prodDetail/11562_65_p.jpg,"NEW,Apparel|Sweatshirts & Sweatpants|Hooded Sweatshirts"
